Ticker,Code,Name
LNKD,GOOG/NYSE_LNKD,LinkedIn Corp. Cl A
YELP,GOOG/NYSE_YELP,Yelp Corporation
TWTR,GOOG/NYSE_TWTR,Twitter Inc
COF,GOOG/NYSE_COF,Capital One Financial Corp.
